seq,est_x,est_y,est_z,est_scaled_x,est_scaled_y,est_scaled_z,gt_initial_x,gt_initial_y,gt_initial_z,gt_x,gt_y,gt_theta
94,-28.976171494,0.035223510,31.420959473,-5.779848099,0.007025999,6.267507553,6.658530235,5.895740032,0.000000000,6.658530235,5.895740032,-2.595040083
95,-28.445287704,0.058547717,30.577013016,-5.673953056,0.011678454,6.099166393,6.487649918,5.791769981,0.000000000,6.487649918,5.791769981,-2.595040083
96,-27.918079376,0.047492340,29.722066879,-5.568791389,0.009473249,5.928630829,6.316289902,5.687500000,0.000000000,6.316289902,5.687500000,-2.595040083
97,-27.400480270,0.057701997,28.867269516,-5.465546608,0.011509759,5.758125305,6.144919872,5.583230019,0.000000000,6.144919872,5.583230019,-2.595040083
98,-26.905714035,0.107535891,27.983428955,-5.366856098,0.021450076,5.581826687,5.973549843,5.478960037,0.000000000,5.973549843,5.478960037,-2.595040083
99,-26.428773880,0.104581617,27.160249710,-5.271720886,0.020860791,5.417627811,5.802189827,5.374680042,0.000000000,5.802189827,5.374680042,-2.595040083
100,-25.892274857,0.033214893,26.280033112,-5.164706230,0.006625342,5.242052078,5.630819798,5.270410061,0.000000000,5.630819798,5.270410061,-2.595040083
101,-25.362947464,0.030378807,25.396850586,-5.059121609,0.006059630,5.065884590,5.459449768,5.166140079,0.000000000,5.459449768,5.166140079,-2.595040083
102,-24.823780060,0.045798168,24.546503067,-4.951574802,0.009135314,4.896266460,5.288090229,5.061870098,0.000000000,5.288090229,5.061870098,-2.595040083
103,-24.287580490,0.057357814,23.710556030,-4.844619274,0.011441106,4.729520798,5.116720200,4.957600117,0.000000000,5.116720200,4.957600117,-2.595040083
104,-23.843433380,0.098142453,22.909027100,-4.756025791,0.019576376,4.569640636,4.945350170,4.853330135,0.000000000,4.945350170,4.853330135,-2.595040083
105,-23.320131302,0.063112378,21.990085602,-4.651643276,0.012588963,4.386340618,4.773990154,4.749060154,0.000000000,4.773990154,4.749060154,-2.595040083
106,-22.784029007,0.055102397,21.184192657,-4.544707298,0.010991220,4.225589752,4.602620125,4.644780159,0.000000000,4.602620125,4.644780159,-2.595040083
107,-22.276119232,0.084632769,20.331871033,-4.443395138,0.016881613,4.055577755,4.431250095,4.540510178,0.000000000,4.431250095,4.540510178,-2.595040083
108,-21.749076843,0.088434629,19.480691910,-4.338266373,0.017639967,3.885794163,4.259890079,4.436240196,0.000000000,4.259890079,4.436240196,-2.595040083
109,-21.241291046,0.117960855,18.618858337,-4.236979008,0.023529533,3.713885069,4.088580132,4.332270145,0.000000000,4.088580132,4.332270145,-2.597970009
110,-20.793209076,0.083832152,17.766490936,-4.147600651,0.016721915,3.543864250,3.916949987,4.229020119,0.000000000,3.916949987,4.229020119,-2.602070093
111,-20.310428619,0.091113612,16.868259430,-4.051301003,0.018174341,3.364694834,3.744760036,4.126949787,0.000000000,3.744760036,4.126949787,-2.640530109
112,-20.179565430,0.054886505,16.044715881,-4.025197506,0.010948156,3.200423479,3.596450090,4.064030170,0.000000000,3.596450090,4.064030170,-2.840719938
113,-20.123270035,0.025548816,15.155313492,-4.013968468,0.005096197,3.023015261,3.438590050,4.031859875,0.000000000,3.438590050,4.031859875,-3.040920019
114,-20.350988388,-0.024561346,14.270797729,-4.059391499,-0.004899227,2.846581697,3.277479887,4.031720161,0.000000000,3.277479887,4.031720161,3.042069912
115,-20.549520493,-0.034325637,13.288047791,-4.098992348,-0.006846901,2.650553703,3.079430103,4.061530113,0.000000000,3.079430103,4.061530113,2.985399961
116,-20.581359863,-0.058190957,12.317150116,-4.105343342,-0.011607292,2.456889629,2.881619930,4.092599869,0.000000000,2.881619930,4.092599869,2.985399961
117,-20.851415634,-0.071474001,11.301836014,-4.159211159,-0.014256847,2.254365921,2.683969975,4.123680115,0.000000000,2.683969975,4.123680115,2.985399961
118,-20.992055893,-0.062012181,10.295704842,-4.187264442,-0.012369508,2.053673983,2.486030102,4.154809952,0.000000000,2.486030102,4.154809952,2.985399961
119,-21.217948914,-0.012806103,9.261487961,-4.232323170,-0.002554420,1.847379684,2.288100004,4.185929775,0.000000000,2.288100004,4.185929775,2.985399961
120,-21.292432785,-0.140803486,8.274984360,-4.247180462,-0.028085930,1.650602818,2.090159893,4.217060089,0.000000000,2.090159893,4.217060089,2.985399961
