landmark_id,est_x,est_y,est_z,scaled_x,scaled_y,scaled_z,aligned_x,aligned_y,aligned_z,gt_first_x,gt_first_y,gt_first_z,error,error_rigid_aligned
815,6.632408142,-8.939446449,13.992907524,1.322959781,-1.783142447,2.791151285,3.050299644,-1.321904659,1.771701932,3.006259918,-1.330119967,1.792790055,2.008843899,0.049514621
817,-14.752256393,-4.808305740,31.129856110,-2.942617893,-0.959107935,6.209441185,6.477999687,2.939291239,0.964258254,6.422780037,2.948309898,0.961408019,11.424554825,0.056023832
820,4.412775993,-5.413578987,-19.624114990,0.880212009,-1.079841137,-3.914402485,-3.651447296,-0.869852364,1.038660884,-3.182290077,-0.527517974,0.984279990,6.387963295,0.583316922
821,15.829011917,-3.169627905,12.752424240,3.157397270,-0.632242501,2.543713331,2.805511236,-3.155648470,0.619131505,2.757600069,-3.174649954,0.635626018,3.203821421,0.054116588
822,-43.829803467,-1.909005642,6.912782669,-8.742687225,-0.380787432,1.378885865,1.657926559,8.746079445,0.366245329,1.648040056,8.664239883,0.377956003,13.812370300,0.083262220
823,-17.233768463,-7.912421227,35.165504456,-3.437602520,-1.578282714,7.014428139,7.280887604,3.432992697,1.587170959,7.229549885,3.444159985,1.580809951,12.982191086,0.052921943
826,-41.053024292,-5.341752052,-1.571399689,-8.188805580,-1.065513968,-0.313445538,-0.038188517,8.194279671,1.043247342,-0.102462001,8.199139595,1.067739964,12.374588013,0.068953522
830,-51.866825104,-7.996578217,-5.080122948,-10.345823288,-1.595069408,-1.013327003,-0.737502813,10.352079391,1.570359230,-0.468645006,9.960929871,1.515509963,15.410866737,0.477797985
831,-39.896007538,-0.554582715,32.553855896,-7.958016872,-0.110622063,6.493484974,6.772611618,7.954563141,0.118630707,6.710690022,7.977560043,0.113046996,17.924833298,0.066289663
832,-24.548309326,-6.741380692,-7.130842209,-4.896626949,-1.344696522,-1.422381997,-1.152814031,4.903521538,1.316444874,-1.366760015,4.867549896,1.381389976,7.675487518,0.226461276
837,-6.689782143,-9.911315918,22.006046295,-1.334404111,-1.977000237,4.389523983,4.651388168,1.333230257,1.973520994,4.606249809,1.339490056,1.984519958,7.216267586,0.046878926
839,11.509448051,-2.845768929,37.406173706,2.295778036,-0.567642689,7.461371899,7.724570274,-2.300674438,0.576722562,7.809370041,-2.357000113,0.577943981,8.999059677,0.101809010
841,6.073359489,-6.987696648,1.771020889,1.211447001,-1.393828869,0.353263766,0.614324868,-1.206967711,1.371561885,0.592526972,-1.170189977,1.378090024,1.217926621,0.043247737
843,-1.029826164,-8.312687874,6.306910992,-0.205418393,-1.658123493,1.258033276,1.519824624,0.208588198,1.640333891,1.442849994,0.154339999,1.677839994,2.485568285,0.101364046
846,-15.092033386,-0.861292541,23.503948212,-3.010392904,-0.171801165,4.688309193,4.960485458,3.009371281,0.170201063,4.904620171,3.020859957,0.172466993,9.655741692,0.057079371
847,-28.142200470,-3.752950191,-2.021350861,-5.613496780,-0.748597205,-0.403196841,-0.130012423,5.619194031,0.725120366,-0.164144993,5.593009949,0.745046973,8.439779282,0.047410004
853,-45.811279297,-8.664671898,13.312352180,-9.137929916,-1.728333473,2.655401468,2.928956509,9.139174461,1.719592094,2.987610102,8.757019997,1.612159967,16.064235687,0.401277900
854,-18.839937210,-1.854748487,-4.804832458,-3.757983446,-0.369964838,-0.958415151,-0.686048865,3.764552116,0.343431324,-0.889532983,3.704900026,0.383653998,5.160783291,0.215828687
856,-19.268093109,-4.445700645,-7.743807793,-3.843387365,-0.886779487,-1.544649601,-1.274464846,3.850590467,0.857654870,-1.937409997,3.776249886,1.002449989,5.644847870,0.682633460
858,-15.932865143,-10.797976494,-14.278435707,-3.178112745,-2.153861523,-2.848105192,-2.584454775,3.186690331,2.118704557,-2.041850090,3.241499901,1.930899978,7.296567917,0.576796770
860,19.872497559,-0.484048843,32.848350525,3.963947296,-0.096552737,6.552227497,6.815278053,-3.967463732,0.101058438,6.798299789,-3.991919994,0.096384399,8.055144310,0.030136637
863,15.012625694,-11.619066238,-26.455396652,2.994553328,-2.317643642,-5.277031422,-5.022440910,-2.982728243,2.269710064,-3.832989931,-1.849030018,1.904340029,9.920032501,1.683318257
865,-29.827236176,-4.437994957,40.657627106,-5.949608803,-0.885242403,8.109935760,8.382873535,5.943726540,0.899813533,8.327949524,5.963490009,0.889723003,17.403600693,0.059237324
866,-15.818961143,-7.288650513,28.711282730,-3.155392408,-1.453859806,5.727010727,5.993657112,3.152566195,1.456922054,5.947770119,3.166970015,1.459310055,11.064940453,0.048153803
867,-1.208653927,-2.533041716,14.155172348,-0.241088986,-0.505263269,2.823518038,3.090479612,0.242494375,0.494473875,3.033119917,0.241959006,0.506956995,4.079857826,0.058704767
868,-32.714721680,-4.578303337,20.330711365,-6.525572777,-0.913229585,4.055346489,4.328983307,6.525175095,0.909911036,4.272130013,6.552559853,0.917154014,13.497282982,0.063519150
869,-42.017715454,-0.688687265,-7.350167274,-8.381231308,-0.137371764,-1.466130495,-1.186463475,8.388555527,0.110037684,-1.318549991,8.453709602,0.140265003,11.236932755,0.150351569
872,-37.024566650,-9.925029755,29.085704803,-7.385253429,-1.979735732,5.801696301,6.071723938,7.382158279,1.984461308,6.019360065,7.406889915,1.986410022,16.803237915,0.057943303
874,-17.255376816,-2.932600975,45.347061157,-3.441912651,-0.584962964,9.045332909,9.316205025,3.434858322,0.602914274,9.391530037,3.511470079,0.599824011,15.899831772,0.107483804
876,-1.013609886,-9.409390450,-2.208873749,-0.202183753,-1.876881719,-0.440601826,-0.179771632,0.207587734,1.851518035,-0.309772998,0.097944699,1.919000030,3.078836918,0.182963848
877,-30.700729370,-6.526566029,2.009643555,-6.123843670,-1.301847577,0.400861591,0.672262073,6.128278732,1.282110095,0.716960013,5.980060101,1.265949965,10.028516769,0.155652881
878,-13.083187103,-0.712429404,9.856592178,-2.609690189,-0.142107576,1.966084599,2.237880230,2.612367392,0.128248245,2.174370050,2.620690107,0.142763004,5.817627430,0.065677151
880,-2.927492142,-4.936079979,-1.222234726,-0.583943903,-0.984594941,-0.243797943,0.021524221,0.589357138,0.960237980,-0.158929005,0.437144011,1.022060037,1.950480938,0.244037226
881,-10.398801804,-4.598948479,3.180073738,-2.074238539,-0.917347670,0.634326100,0.901955962,2.078481197,0.897375822,0.655983984,1.919999957,0.963149011,3.951301098,0.299907714
882,8.241720200,-4.048152924,16.736415863,1.643967628,-0.807480991,3.338396072,3.601452827,-1.643351555,0.798388124,3.558409929,-1.653820038,0.812304020,3.280628204,0.046432018
