seq,gt_x,gt_y,gt_theta,odom_x,odom_y,odom_theta
87,7.856450081,6.624489784,-2.595040083,8.608949661,6.143610001,-2.563839912
88,7.685210228,6.520349979,-2.595040083,8.447859764,6.036920071,-2.549770117
89,7.514239788,6.416369915,-2.595040083,8.281279564,5.927490234,-2.564460039
90,7.343100071,6.312240124,-2.595040083,8.103549957,5.813590050,-2.573640108
91,7.171959877,6.208119869,-2.595040083,7.940660000,5.709239960,-2.565000057
92,7.000820160,6.103990078,-2.595040083,7.762269974,5.594279766,-2.559829950
93,6.829669952,5.999859810,-2.595040083,7.591430187,5.483419895,-2.558029890
94,6.658530235,5.895740032,-2.595040083,7.419400215,5.373839855,-2.572429895
95,6.487649918,5.791769981,-2.595040083,7.247019768,5.265349865,-2.584899902
96,6.316289902,5.687500000,-2.595040083,7.091509819,5.170139790,-2.592109919
97,6.144919872,5.583230019,-2.595040083,6.890830040,5.046860218,-2.569989920
98,5.973549843,5.478960037,-2.595040083,6.725160122,4.936500072,-2.548340082
99,5.802189827,5.374680042,-2.595040083,6.559760094,4.824659824,-2.546380043
100,5.630819798,5.270410061,-2.595040083,6.390880108,4.708459854,-2.529000044
101,5.459449768,5.166140079,-2.595040083,6.235229969,4.599730015,-2.532500029
102,5.288090229,5.061870098,-2.595040083,6.058770180,4.479990005,-2.552400112
103,5.116720200,4.957600117,-2.595040083,5.885980129,4.362520218,-2.536429882
104,4.945350170,4.853330135,-2.595040083,5.734960079,4.258240223,-2.545020103
105,4.773990154,4.749060154,-2.595040083,5.590390205,4.157869816,-2.528709888
106,4.602620125,4.644780159,-2.595040083,5.418759823,4.041160107,-2.550499916
107,4.431250095,4.540510178,-2.595040083,5.251729965,3.930330038,-2.567100048
108,4.259890079,4.436240196,-2.595040083,5.092899799,3.826950073,-2.563750029
109,4.088580132,4.332270145,-2.597970009,4.943180084,3.730740070,-2.566960096
110,3.916949987,4.229020119,-2.602070093,4.770170212,3.623169899,-2.601380110
111,3.744760036,4.126949787,-2.640530109,4.588059902,3.512379885,-2.602210045
112,3.596450090,4.064030170,-2.840719938,4.446390152,3.444000006,-2.796080112
113,3.438590050,4.031859875,-3.040920019,4.297229767,3.406339884,-3.006829977
114,3.277479887,4.031720161,3.042069912,4.132369995,3.398740053,3.096390009
115,3.079430103,4.061530113,2.985399961,3.915080070,3.420589924,3.035020113
116,2.881619930,4.092599869,2.985399961,3.718839884,3.438640118,3.051179886
117,2.683969975,4.123680115,2.985399961,3.538490057,3.455260038,3.038680077
118,2.486030102,4.154809952,2.985399961,3.320329905,3.475670099,3.053129911
119,2.288100004,4.185929775,2.985399961,3.153379917,3.487760067,3.087150097
120,2.090159893,4.217060089,2.985399961,2.954349995,3.498800039,3.090290070
